"","Var1","Var2","bicor","pval","obs","sig"
"329","Fat_mass","ME8",0.405528095673378,0.0057157810228913,45,"**"
"330","BodyFat","ME8",0.219965338869131,0.146529425635813,45,""
"331","BMI","ME8",0.379929557372529,0.0100456469283069,45,"*"
"332","Waist_circumference","ME8",0.622409521612569,4.99864729154115e-06,45,"***"
"333","SBP","ME8",-0.00586314142792737,0.969508561804632,45,""
"334","DBP","ME8",0.207370809111452,0.171671890391687,45,""
"335","Resting_HR","ME8",-0.152230637271751,0.318138127219049,45,""
"336","Max_HR","ME8",0.0679633079825245,0.657334823004646,45,""
"337","VO2peak","ME8",0.201758959975767,0.183825053419311,45,""
"338","VO2peak_kg_min","ME8",-0.164757173736463,0.279458968543718,45,""
"339","VO2peak_kgLM_min","ME8",-0.0539563431795369,0.724822199338295,45,""
"340","RMR","ME8",0.134992409822083,0.382298585739781,44,""
"341","Fat_OX","ME8",0.194870951557824,0.20493777655032,44,""
"342","CHO_OX","ME8",-0.125011637502769,0.418779679719897,44,""
"343","HOMA_IR","ME8",0.197905358507801,0.192518782517643,45,""
"344","Adipo_IR","ME8",-0.0974935819755603,0.524044378226685,45,""
"345","Glucose","ME8",0.320711174102152,0.0317175921008374,45,"*"
"346","Insulin","ME8",0.160399480106486,0.292548336713163,45,""
"347","NEFA","ME8",-0.146171136174643,0.338006138838553,45,""
"348","Glycerol","ME8",-0.0395106908247074,0.796647775709782,45,""
"349","Triglyceride","ME8",0.291852923360313,0.0545701107171735,44,""
"350","Lactate","ME8",0.246258072436151,0.102956704230479,45,""
"351","Cortisol","ME8",0.0324631304357748,0.834298421765691,44,""
"352","IFNg","ME8",-0.044265119675325,0.772791793942622,45,""
"353","IL10","ME8",-0.0754112463059491,0.630787764864677,43,""
"354","IL1b","ME8",-0.17478758551559,0.250810561517007,45,""
"355","IL6","ME8",-0.0278017983349792,0.870251680444714,37,""
"356","TNFa","ME8",0.222154513968478,0.142452105342064,45,""
"357","FCS_mean","ME8",0.483048516356139,0.000776640247099813,45,"***"
"358","SR","ME8",-0.248408285464966,0.0998902659693968,45,""
"359","CD14_per_adipocyte","ME8",0.0506845254360609,0.743868720914163,44,""
"360","CD206_per_adipocyte","ME8",0.0250258551551327,0.871897332612674,44,""
"361","Age","ME13",0.00381622688126604,0.980150913851945,45,""
"362","Sex","ME13",-0.486743867048881,0.000697651858400096,45,"***"
"363","Bodyweight","ME13",0.425192862065011,0.00359601843578611,45,"**"
"364","Lean_mass","ME13",0.393233674955677,0.00753414255873062,45,"**"
"365","Fat_mass","ME13",0.0354437218152934,0.817201727195974,45,""
"366","BodyFat","ME13",-0.108274308531708,0.478962200691727,45,""
"367","BMI","ME13",0.276607489114474,0.065856992852228,45,""
"368","Waist_circumference","ME13",0.540816629612914,0.000125332838072369,45,"***"
"369","SBP","ME13",0.0386169028334936,0.801153735077939,45,""
"370","DBP","ME13",0.310622558731218,0.0378232996250187,45,"*"
"371","Resting_HR","ME13",-0.219056700978404,0.148246809443903,45,""
